2026-06-25 12:16:36.134 | SERVIDOR | INICIADO | porta=5000
2026-06-25 12:16:58.068 | CONEXAO | ACEITA  | origem=127.0.0.1:54292
2026-06-25 12:16:58.069 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:16:58.070 | CONEXAO | ACEITA  | origem=127.0.0.1:54294
2026-06-25 12:16:58.072 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:16:58.072 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:16:58.072 | CONEXAO | ACEITA  | origem=127.0.0.1:54304
2026-06-25 12:16:58.073 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:16:58.073 | CONEXAO | ACEITA  | origem=127.0.0.1:54318
2026-06-25 12:16:58.075 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:16:58.077 | CONEXAO | ACEITA  | origem=127.0.0.1:54324
2026-06-25 12:16:58.079 | RECEBIDA | REQUEST | processo=13
2026-06-25 12:16:58.095 | CONEXAO | ACEITA  | origem=127.0.0.1:54338
2026-06-25 12:16:58.096 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:16:58.096 | CONEXAO | ACEITA  | origem=127.0.0.1:54342
2026-06-25 12:16:58.096 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:16:58.097 | CONEXAO | ACEITA  | origem=127.0.0.1:54356
2026-06-25 12:16:58.097 | RECEBIDA | REQUEST | processo=11
2026-06-25 12:16:58.097 | CONEXAO | ACEITA  | origem=127.0.0.1:54368
2026-06-25 12:16:58.097 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:16:58.100 | CONEXAO | ACEITA  | origem=127.0.0.1:54374
2026-06-25 12:16:58.100 | RECEBIDA | REQUEST | processo=7
2026-06-25 12:16:58.100 | CONEXAO | ACEITA  | origem=127.0.0.1:54376
2026-06-25 12:16:58.101 | RECEBIDA | REQUEST | processo=10
2026-06-25 12:16:58.103 | CONEXAO | ACEITA  | origem=127.0.0.1:54380
2026-06-25 12:16:58.103 | RECEBIDA | REQUEST | processo=17
2026-06-25 12:16:58.105 | CONEXAO | ACEITA  | origem=127.0.0.1:54396
2026-06-25 12:16:58.105 | RECEBIDA | REQUEST | processo=14
2026-06-25 12:16:58.105 | CONEXAO | ACEITA  | origem=127.0.0.1:54410
2026-06-25 12:16:58.105 | RECEBIDA | REQUEST | processo=19
2026-06-25 12:16:58.106 | CONEXAO | ACEITA  | origem=127.0.0.1:54424
2026-06-25 12:16:58.106 | RECEBIDA | REQUEST | processo=18
2026-06-25 12:16:58.108 | CONEXAO | ACEITA  | origem=127.0.0.1:54438
2026-06-25 12:16:58.108 | RECEBIDA | REQUEST | processo=12
2026-06-25 12:16:58.114 | CONEXAO | ACEITA  | origem=127.0.0.1:54446
2026-06-25 12:16:58.114 | RECEBIDA | REQUEST | processo=20
2026-06-25 12:16:58.116 | CONEXAO | ACEITA  | origem=127.0.0.1:54462
2026-06-25 12:16:58.117 | RECEBIDA | REQUEST | processo=6
2026-06-25 12:16:58.118 | CONEXAO | ACEITA  | origem=127.0.0.1:54476
2026-06-25 12:16:58.118 | RECEBIDA | REQUEST | processo=15
2026-06-25 12:16:58.121 | CONEXAO | ACEITA  | origem=127.0.0.1:54484
2026-06-25 12:16:58.121 | RECEBIDA | REQUEST | processo=16
2026-06-25 12:16:58.573 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:16:58.573 | ENVIADA  | GRANT   | processo=4
2026-06-25 12:16:58.614 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:16:59.074 | RECEBIDA | RELEASE | processo=4
2026-06-25 12:16:59.074 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:16:59.074 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:16:59.574 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:16:59.574 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:16:59.574 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:17:00.075 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:17:00.075 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:17:00.075 | ENVIADA  | GRANT   | processo=13
2026-06-25 12:17:00.575 | RECEBIDA | RELEASE | processo=13
2026-06-25 12:17:00.575 | RECEBIDA | REQUEST | processo=13
2026-06-25 12:17:00.575 | ENVIADA  | GRANT   | processo=9
2026-06-25 12:17:01.076 | RECEBIDA | RELEASE | processo=9
2026-06-25 12:17:01.076 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:17:01.076 | ENVIADA  | GRANT   | processo=5
2026-06-25 12:17:01.576 | RECEBIDA | RELEASE | processo=5
2026-06-25 12:17:01.576 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:17:01.577 | ENVIADA  | GRANT   | processo=11
2026-06-25 12:17:02.077 | RECEBIDA | RELEASE | processo=11
2026-06-25 12:17:02.077 | RECEBIDA | REQUEST | processo=11
2026-06-25 12:17:02.077 | ENVIADA  | GRANT   | processo=8
2026-06-25 12:17:02.577 | RECEBIDA | RELEASE | processo=8
2026-06-25 12:17:02.577 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:17:02.577 | ENVIADA  | GRANT   | processo=7
2026-06-25 12:17:03.078 | RECEBIDA | RELEASE | processo=7
2026-06-25 12:17:03.078 | RECEBIDA | REQUEST | processo=7
2026-06-25 12:17:03.078 | ENVIADA  | GRANT   | processo=10
2026-06-25 12:17:03.578 | RECEBIDA | RELEASE | processo=10
2026-06-25 12:17:03.578 | RECEBIDA | REQUEST | processo=10
2026-06-25 12:17:03.578 | ENVIADA  | GRANT   | processo=17
2026-06-25 12:17:04.079 | RECEBIDA | RELEASE | processo=17
2026-06-25 12:17:04.079 | RECEBIDA | REQUEST | processo=17
2026-06-25 12:17:04.079 | ENVIADA  | GRANT   | processo=14
2026-06-25 12:17:04.579 | RECEBIDA | RELEASE | processo=14
2026-06-25 12:17:04.579 | RECEBIDA | REQUEST | processo=14
2026-06-25 12:17:04.579 | ENVIADA  | GRANT   | processo=19
2026-06-25 12:17:05.079 | RECEBIDA | RELEASE | processo=19
2026-06-25 12:17:05.080 | RECEBIDA | REQUEST | processo=19
2026-06-25 12:17:05.080 | ENVIADA  | GRANT   | processo=18
2026-06-25 12:17:05.580 | RECEBIDA | RELEASE | processo=18
2026-06-25 12:17:05.580 | RECEBIDA | REQUEST | processo=18
2026-06-25 12:17:05.580 | ENVIADA  | GRANT   | processo=12
2026-06-25 12:17:06.080 | RECEBIDA | RELEASE | processo=12
2026-06-25 12:17:06.080 | RECEBIDA | REQUEST | processo=12
2026-06-25 12:17:06.080 | ENVIADA  | GRANT   | processo=20
2026-06-25 12:17:06.581 | RECEBIDA | RELEASE | processo=20
2026-06-25 12:17:06.581 | RECEBIDA | REQUEST | processo=20
2026-06-25 12:17:06.581 | ENVIADA  | GRANT   | processo=6
2026-06-25 12:17:07.081 | RECEBIDA | RELEASE | processo=6
2026-06-25 12:17:07.081 | RECEBIDA | REQUEST | processo=6
2026-06-25 12:17:07.081 | ENVIADA  | GRANT   | processo=15
2026-06-25 12:17:07.581 | RECEBIDA | RELEASE | processo=15
2026-06-25 12:17:07.582 | RECEBIDA | REQUEST | processo=15
2026-06-25 12:17:07.582 | ENVIADA  | GRANT   | processo=16
2026-06-25 12:17:08.082 | RECEBIDA | RELEASE | processo=16
2026-06-25 12:17:08.082 | RECEBIDA | REQUEST | processo=16
2026-06-25 12:17:08.082 | ENVIADA  | GRANT   | processo=1
2026-06-25 12:17:08.582 | RECEBIDA | RELEASE | processo=1
2026-06-25 12:17:08.582 | RECEBIDA | REQUEST | processo=1
2026-06-25 12:17:08.582 | ENVIADA  | GRANT   | processo=4
2026-06-25 12:17:09.083 | RECEBIDA | RELEASE | processo=4
2026-06-25 12:17:09.083 | RECEBIDA | REQUEST | processo=4
2026-06-25 12:17:09.083 | ENVIADA  | GRANT   | processo=3
2026-06-25 12:17:09.584 | RECEBIDA | RELEASE | processo=3
2026-06-25 12:17:09.584 | RECEBIDA | REQUEST | processo=3
2026-06-25 12:17:09.584 | ENVIADA  | GRANT   | processo=2
2026-06-25 12:17:10.084 | RECEBIDA | RELEASE | processo=2
2026-06-25 12:17:10.084 | RECEBIDA | REQUEST | processo=2
2026-06-25 12:17:10.084 | ENVIADA  | GRANT   | processo=13
2026-06-25 12:17:10.584 | RECEBIDA | RELEASE | processo=13
2026-06-25 12:17:10.584 | RECEBIDA | REQUEST | processo=13
2026-06-25 12:17:10.585 | ENVIADA  | GRANT   | processo=9
2026-06-25 12:17:11.085 | RECEBIDA | RELEASE | processo=9
2026-06-25 12:17:11.085 | RECEBIDA | REQUEST | processo=9
2026-06-25 12:17:11.085 | ENVIADA  | GRANT   | processo=5
2026-06-25 12:17:11.585 | RECEBIDA | RELEASE | processo=5
2026-06-25 12:17:11.585 | RECEBIDA | REQUEST | processo=5
2026-06-25 12:17:11.585 | ENVIADA  | GRANT   | processo=11
2026-06-25 12:17:12.086 | RECEBIDA | RELEASE | processo=11
2026-06-25 12:17:12.086 | RECEBIDA | REQUEST | processo=11
2026-06-25 12:17:12.086 | ENVIADA  | GRANT   | processo=8
2026-06-25 12:17:12.586 | RECEBIDA | RELEASE | processo=8
2026-06-25 12:17:12.586 | RECEBIDA | REQUEST | processo=8
2026-06-25 12:17:12.586 | ENVIADA  | GRANT   | processo=7
